"row"
"('19995', 'Avatar', '237000000', '2787965087', '150.437577', 'Action', '162.0', 'Avatar', '28')"
"('58', ""Pirates of the Caribbean: Dead Man's Chest"", '200000000', '1065659812', '145.847379', 'Action', '151.0', ""Pirates of the Caribbean: Dead Man's Chest"", '28')"
"('57201', 'The Lone Ranger', '255000000', '89289910', '49.046956', 'Action', '149.0', 'The Lone Ranger', '28')"
"('57201', 'The Lone Ranger', '255000000', '89289910', '49.046956', 'Adventure', '149.0', 'The Lone Ranger', '12')"
"('57201', 'The Lone Ranger', '255000000', '89289910', '49.046956', 'Western', '149.0', 'The Lone Ranger', '37')"
"('49521', 'Man of Steel', '225000000', '662845518', '99.398009', 'Action', '143.0', 'Man of Steel', '28')"
"('49521', 'Man of Steel', '225000000', '662845518', '99.398009', 'Adventure', '143.0', 'Man of Steel', '12')"
"('49521', 'Man of Steel', '225000000', '662845518', '99.398009', 'Fantasy', '143.0', 'Man of Steel', '14')"
"('49521', 'Man of Steel', '225000000', '662845518', '99.398009', 'Science Fiction', '143.0', 'Man of Steel', '878')"
"('2454', 'The Chronicles of Narnia: Prince Caspian', '225000000', '419651413', '53.978602', 'Adventure', '150.0', 'The Chronicles of Narnia: Prince Caspian', '12')"
"('2454', 'The Chronicles of Narnia: Prince Caspian', '225000000', '419651413', '53.978602', 'Family', '150.0', 'The Chronicles of Narnia: Prince Caspian', '10751')"
"('2454', 'The Chronicles of Narnia: Prince Caspian', '225000000', '419651413', '53.978602', 'Fantasy', '150.0', 'The Chronicles of Narnia: Prince Caspian', '14')"
"('24428', 'The Avengers', '220000000', '1519557910', '144.448633', 'Science Fiction', '143.0', 'The Avengers', '878')"
"('24428', 'The Avengers', '220000000', '1519557910', '144.448633', 'Action', '143.0', 'The Avengers', '28')"
"('24428', 'The Avengers', '220000000', '1519557910', '144.448633', 'Adventure', '143.0', 'The Avengers', '12')"
"('1865', 'Pirates of the Caribbean: On Stranger Tides', '380000000', '1045713802', '135.413856', 'Adventure', '136.0', 'Pirates of the Caribbean: On Stranger Tides', '12')"
"('1865', 'Pirates of the Caribbean: On Stranger Tides', '380000000', '1045713802', '135.413856', 'Action', '136.0', 'Pirates of the Caribbean: On Stranger Tides', '28')"
"('1865', 'Pirates of the Caribbean: On Stranger Tides', '380000000', '1045713802', '135.413856', 'Fantasy', '136.0', 'Pirates of the Caribbean: On Stranger Tides', '14')"
"('41154', 'Men in Black 3', '225000000', '624026776', '52.035179', 'Action', '106.0', 'Men in Black 3', '28')"
"('41154', 'Men in Black 3', '225000000', '624026776', '52.035179', 'Comedy', '106.0', 'Men in Black 3', '35')"
"('41154', 'Men in Black 3', '225000000', '624026776', '52.035179', 'Science Fiction', '106.0', 'Men in Black 3', '878')"
"('122917', 'The Hobbit: The Battle of the Five Armies', '250000000', '956019788', '120.965743', 'Action', '144.0', 'The Hobbit: The Battle of the Five Armies', '28')"
"('122917', 'The Hobbit: The Battle of the Five Armies', '250000000', '956019788', '120.965743', 'Adventure', '144.0', 'The Hobbit: The Battle of the Five Armies', '12')"
"('122917', 'The Hobbit: The Battle of the Five Armies', '250000000', '956019788', '120.965743', 'Fantasy', '144.0', 'The Hobbit: The Battle of the Five Armies', '14')"
"('1930', 'The Amazing Spider-Man', '215000000', '752215857', '89.866276', 'Action', '136.0', 'The Amazing Spider-Man', '28')"
"('1930', 'The Amazing Spider-Man', '215000000', '752215857', '89.866276', 'Adventure', '136.0', 'The Amazing Spider-Man', '12')"
"('1930', 'The Amazing Spider-Man', '215000000', '752215857', '89.866276', 'Fantasy', '136.0', 'The Amazing Spider-Man', '14')"
"('20662', 'Robin Hood', '200000000', '310669540', '37.668301', 'Action', '140.0', 'Robin Hood', '28')"
"('20662', 'Robin Hood', '200000000', '310669540', '37.668301', 'Adventure', '140.0', 'Robin Hood', '12')"
"('57158', 'The Hobbit: The Desolation of Smaug', '250000000', '958400000', '94.370564', 'Adventure', '161.0', 'The Hobbit: The Desolation of Smaug', '12')"
"('57158', 'The Hobbit: The Desolation of Smaug', '250000000', '958400000', '94.370564', 'Fantasy', '161.0', 'The Hobbit: The Desolation of Smaug', '14')"
"('2268', 'The Golden Compass', '180000000', '372234864', '42.990906', 'Adventure', '113.0', 'The Golden Compass', '12')"
"('2268', 'The Golden Compass', '180000000', '372234864', '42.990906', 'Fantasy', '113.0', 'The Golden Compass', '14')"
"('254', 'King Kong', '207000000', '550000000', '61.22601', 'Adventure', '187.0', 'King Kong', '12')"
"('254', 'King Kong', '207000000', '550000000', '61.22601', 'Drama', '187.0', 'King Kong', '18')"
"('254', 'King Kong', '207000000', '550000000', '61.22601', 'Action', '187.0', 'King Kong', '28')"
"('597', 'Titanic', '200000000', '1845034188', '100.025899', 'Drama', '194.0', 'Titanic', '18')"
"('597', 'Titanic', '200000000', '1845034188', '100.025899', 'Romance', '194.0', 'Titanic', '10749')"
"('597', 'Titanic', '200000000', '1845034188', '100.025899', 'Thriller', '194.0', 'Titanic', '53')"
"('271110', 'Captain America: Civil War', '250000000', '1153304495', '198.372395', 'Adventure', '147.0', 'Captain America: Civil War', '12')"
"('271110', 'Captain America: Civil War', '250000000', '1153304495', '198.372395', 'Action', '147.0', 'Captain America: Civil War', '28')"
"('271110', 'Captain America: Civil War', '250000000', '1153304495', '198.372395', 'Science Fiction', '147.0', 'Captain America: Civil War', '878')"
"('44833', 'Battleship', '209000000', '303025485', '64.928382', 'Thriller', '131.0', 'Battleship', '53')"
"('44833', 'Battleship', '209000000', '303025485', '64.928382', 'Action', '131.0', 'Battleship', '28')"
"('44833', 'Battleship', '209000000', '303025485', '64.928382', 'Adventure', '131.0', 'Battleship', '12')"
"('44833', 'Battleship', '209000000', '303025485', '64.928382', 'Science Fiction', '131.0', 'Battleship', '878')"
"('135397', 'Jurassic World', '150000000', '1513528810', '418.708552', 'Action', '124.0', 'Jurassic World', '28')"
"('135397', 'Jurassic World', '150000000', '1513528810', '418.708552', 'Adventure', '124.0', 'Jurassic World', '12')"
"('135397', 'Jurassic World', '150000000', '1513528810', '418.708552', 'Science Fiction', '124.0', 'Jurassic World', '878')"
"('135397', 'Jurassic World', '150000000', '1513528810', '418.708552', 'Thriller', '124.0', 'Jurassic World', '53')"
"('37724', 'Skyfall', '200000000', '1108561013', '93.004993', 'Action', '143.0', 'Skyfall', '28')"
"('37724', 'Skyfall', '200000000', '1108561013', '93.004993', 'Adventure', '143.0', 'Skyfall', '12')"
"('37724', 'Skyfall', '200000000', '1108561013', '93.004993', 'Thriller', '143.0', 'Skyfall', '53')"
"('558', 'Spider-Man 2', '200000000', '783766341', '35.149586', 'Action', '127.0', 'Spider-Man 2', '28')"
"('558', 'Spider-Man 2', '200000000', '783766341', '35.149586', 'Adventure', '127.0', 'Spider-Man 2', '12')"
"('558', 'Spider-Man 2', '200000000', '783766341', '35.149586', 'Fantasy', '127.0', 'Spider-Man 2', '14')"
"('68721', 'Iron Man 3', '200000000', '1215439994', '77.68208', 'Action', '130.0', 'Iron Man 3', '28')"
"('68721', 'Iron Man 3', '200000000', '1215439994', '77.68208', 'Adventure', '130.0', 'Iron Man 3', '12')"
"('68721', 'Iron Man 3', '200000000', '1215439994', '77.68208', 'Science Fiction', '130.0', 'Iron Man 3', '878')"
"('12155', 'Alice in Wonderland', '200000000', '1025491110', '78.530105', 'Family', '108.0', 'Alice in Wonderland', '10751')"
"('12155', 'Alice in Wonderland', '200000000', '1025491110', '78.530105', 'Fantasy', '108.0', 'Alice in Wonderland', '14')"
"('12155', 'Alice in Wonderland', '200000000', '1025491110', '78.530105', 'Adventure', '108.0', 'Alice in Wonderland', '12')"
"('36668', 'X-Men: The Last Stand', '210000000', '459359555', '3.857526', 'Adventure', '104.0', 'X-Men: The Last Stand', '12')"
"('36668', 'X-Men: The Last Stand', '210000000', '459359555', '3.857526', 'Action', '104.0', 'X-Men: The Last Stand', '28')"
"('36668', 'X-Men: The Last Stand', '210000000', '459359555', '3.857526', 'Science Fiction', '104.0', 'X-Men: The Last Stand', '878')"
"('36668', 'X-Men: The Last Stand', '210000000', '459359555', '3.857526', 'Thriller', '104.0', 'X-Men: The Last Stand', '53')"
"('62211', 'Monsters University', '200000000', '743559607', '89.186492', 'Animation', '104.0', 'Monsters University', '16')"
"('62211', 'Monsters University', '200000000', '743559607', '89.186492', 'Family', '104.0', 'Monsters University', '10751')"
"('8373', 'Transformers: Revenge of the Fallen', '150000000', '836297228', '21.939663', 'Science Fiction', '150.0', 'Transformers: Revenge of the Fallen', '878')"
"('8373', 'Transformers: Revenge of the Fallen', '150000000', '836297228', '21.939663', 'Action', '150.0', 'Transformers: Revenge of the Fallen', '28')"
"('8373', 'Transformers: Revenge of the Fallen', '150000000', '836297228', '21.939663', 'Adventure', '150.0', 'Transformers: Revenge of the Fallen', '12')"
"('91314', 'Transformers: Age of Extinction', '210000000', '1091405097', '116.840296', 'Science Fiction', '165.0', 'Transformers: Age of Extinction', '878')"
"('91314', 'Transformers: Age of Extinction', '210000000', '1091405097', '116.840296', 'Action', '165.0', 'Transformers: Age of Extinction', '28')"
"('91314', 'Transformers: Age of Extinction', '210000000', '1091405097', '116.840296', 'Adventure', '165.0', 'Transformers: Age of Extinction', '12')"
"('68728', 'Oz: The Great and Powerful', '200000000', '491868548', '46.985445', 'Fantasy', '130.0', 'Oz: The Great and Powerful', '14')"
"('68728', 'Oz: The Great and Powerful', '200000000', '491868548', '46.985445', 'Adventure', '130.0', 'Oz: The Great and Powerful', '12')"
"('68728', 'Oz: The Great and Powerful', '200000000', '491868548', '46.985445', 'Family', '130.0', 'Oz: The Great and Powerful', '10751')"
"('102382', 'The Amazing Spider-Man 2', '200000000', '705717432', '89.270217', 'Action', '142.0', 'The Amazing Spider-Man 2', '28')"
"('102382', 'The Amazing Spider-Man 2', '200000000', '705717432', '89.270217', 'Adventure', '142.0', 'The Amazing Spider-Man 2', '12')"
"('102382', 'The Amazing Spider-Man 2', '200000000', '705717432', '89.270217', 'Fantasy', '142.0', 'The Amazing Spider-Man 2', '14')"
"('20526', 'TRON: Legacy', '170000000', '400062763', '73.79505', 'Adventure', '125.0', 'TRON: Legacy', '12')"
"('20526', 'TRON: Legacy', '170000000', '400062763', '73.79505', 'Action', '125.0', 'TRON: Legacy', '28')"
"('20526', 'TRON: Legacy', '170000000', '400062763', '73.79505', 'Science Fiction', '125.0', 'TRON: Legacy', '878')"
"('49013', 'Cars 2', '200000000', '559852396', '49.98659', 'Animation', '106.0', 'Cars 2', '16')"
"('49013', 'Cars 2', '200000000', '559852396', '49.98659', 'Family', '106.0', 'Cars 2', '10751')"
"('49013', 'Cars 2', '200000000', '559852396', '49.98659', 'Adventure', '106.0', 'Cars 2', '12')"
"('49013', 'Cars 2', '200000000', '559852396', '49.98659', 'Comedy', '106.0', 'Cars 2', '35')"
"('44912', 'Green Lantern', '200000000', '219851172', '51.872839', 'Adventure', '114.0', 'Green Lantern', '12')"
"('44912', 'Green Lantern', '200000000', '219851172', '51.872839', 'Action', '114.0', 'Green Lantern', '28')"
"('44912', 'Green Lantern', '200000000', '219851172', '51.872839', 'Thriller', '114.0', 'Green Lantern', '53')"
"('44912', 'Green Lantern', '200000000', '219851172', '51.872839', 'Science Fiction', '114.0', 'Green Lantern', '878')"
"('10193', 'Toy Story 3', '200000000', '1066969703', '59.995418', 'Animation', '103.0', 'Toy Story 3', '16')"
"('10193', 'Toy Story 3', '200000000', '1066969703', '59.995418', 'Family', '103.0', 'Toy Story 3', '10751')"
"('10193', 'Toy Story 3', '200000000', '1066969703', '59.995418', 'Comedy', '103.0', 'Toy Story 3', '35')"
"('534', 'Terminator Salvation', '200000000', '371353001', '71.862892', 'Action', '115.0', 'Terminator Salvation', '28')"
"('534', 'Terminator Salvation', '200000000', '371353001', '71.862892', 'Science Fiction', '115.0', 'Terminator Salvation', '878')"
"('534', 'Terminator Salvation', '200000000', '371353001', '71.862892', 'Thriller', '115.0', 'Terminator Salvation', '53')"
"('168259', 'Furious 7', '190000000', '1506249360', '102.322217', 'Action', '137.0', 'Furious 7', '28')"
"('72190', 'World War Z', '200000000', '531865000', '81.834855', 'Action', '116.0', 'World War Z', '28')"
"('72190', 'World War Z', '200000000', '531865000', '81.834855', 'Drama', '116.0', 'World War Z', '18')"
"('72190', 'World War Z', '200000000', '531865000', '81.834855', 'Horror', '116.0', 'World War Z', '27')"
"('72190', 'World War Z', '200000000', '531865000', '81.834855', 'Science Fiction', '116.0', 'World War Z', '878')"
"('72190', 'World War Z', '200000000', '531865000', '81.834855', 'Thriller', '116.0', 'World War Z', '53')"
"('127585', 'X-Men: Days of Future Past', '250000000', '747862775', '118.078691', 'Action', '131.0', 'X-Men: Days of Future Past', '28')"
"('127585', 'X-Men: Days of Future Past', '250000000', '747862775', '118.078691', 'Adventure', '131.0', 'X-Men: Days of Future Past', '12')"
"('127585', 'X-Men: Days of Future Past', '250000000', '747862775', '118.078691', 'Fantasy', '131.0', 'X-Men: Days of Future Past', '14')"
"('127585', 'X-Men: Days of Future Past', '250000000', '747862775', '118.078691', 'Science Fiction', '131.0', 'X-Men: Days of Future Past', '878')"
"('54138', 'Star Trek Into Darkness', '190000000', '467365246', '78.291018', 'Action', '132.0', 'Star Trek Into Darkness', '28')"
"('54138', 'Star Trek Into Darkness', '190000000', '467365246', '78.291018', 'Adventure', '132.0', 'Star Trek Into Darkness', '12')"
"('54138', 'Star Trek Into Darkness', '190000000', '467365246', '78.291018', 'Science Fiction', '132.0', 'Star Trek Into Darkness', '878')"
"('81005', 'Jack the Giant Slayer', '195000000', '197687603', '43.349855', 'Action', '114.0', 'Jack the Giant Slayer', '28')"
"('81005', 'Jack the Giant Slayer', '195000000', '197687603', '43.349855', 'Family', '114.0', 'Jack the Giant Slayer', '10751')"
"('81005', 'Jack the Giant Slayer', '195000000', '197687603', '43.349855', 'Fantasy', '114.0', 'Jack the Giant Slayer', '14')"
"('64682', 'The Great Gatsby', '105000000', '351040419', '61.196071', 'Drama', '143.0', 'The Great Gatsby', '18')"
"('64682', 'The Great Gatsby', '105000000', '351040419', '61.196071', 'Romance', '143.0', 'The Great Gatsby', '10749')"
"('9543', 'Prince of Persia: The Sands of Time', '150000000', '335154643', '62.169881', 'Adventure', '116.0', 'Prince of Persia: The Sands of Time', '12')"
"('9543', 'Prince of Persia: The Sands of Time', '150000000', '335154643', '62.169881', 'Fantasy', '116.0', 'Prince of Persia: The Sands of Time', '14')"
"('9543', 'Prince of Persia: The Sands of Time', '150000000', '335154643', '62.169881', 'Action', '116.0', 'Prince of Persia: The Sands of Time', '28')"
"('9543', 'Prince of Persia: The Sands of Time', '150000000', '335154643', '62.169881', 'Romance', '116.0', 'Prince of Persia: The Sands of Time', '10749')"
"('68726', 'Pacific Rim', '180000000', '407602906', '56.523205', 'Action', '131.0', 'Pacific Rim', '28')"
"('68726', 'Pacific Rim', '180000000', '407602906', '56.523205', 'Science Fiction', '131.0', 'Pacific Rim', '878')"
"('68726', 'Pacific Rim', '180000000', '407602906', '56.523205', 'Adventure', '131.0', 'Pacific Rim', '12')"
"('38356', 'Transformers: Dark of the Moon', '195000000', '1123746996', '28.529607', 'Action', '154.0', 'Transformers: Dark of the Moon', '28')"
"('38356', 'Transformers: Dark of the Moon', '195000000', '1123746996', '28.529607', 'Science Fiction', '154.0', 'Transformers: Dark of the Moon', '878')"
"('38356', 'Transformers: Dark of the Moon', '195000000', '1123746996', '28.529607', 'Adventure', '154.0', 'Transformers: Dark of the Moon', '12')"
"('217', 'Indiana Jones and the Kingdom of the Crystal Skull', '185000000', '786636033', '75.674458', 'Adventure', '122.0', 'Indiana Jones and the Kingdom of the Crystal Skull', '12')"
"('217', 'Indiana Jones and the Kingdom of the Crystal Skull', '185000000', '786636033', '75.674458', 'Action', '122.0', 'Indiana Jones and the Kingdom of the Crystal Skull', '28')"
"('105864', 'The Good Dinosaur', '175000000', '331926147', '51.692953', 'Adventure', '93.0', 'The Good Dinosaur', '12')"
"('105864', 'The Good Dinosaur', '175000000', '331926147', '51.692953', 'Animation', '93.0', 'The Good Dinosaur', '16')"
"('105864', 'The Good Dinosaur', '175000000', '331926147', '51.692953', 'Family', '93.0', 'The Good Dinosaur', '10751')"
"('62177', 'Brave', '185000000', '538983207', '125.114374', 'Animation', '93.0', 'Brave', '16')"
"('62177', 'Brave', '185000000', '538983207', '125.114374', 'Adventure', '93.0', 'Brave', '12')"
"('62177', 'Brave', '185000000', '538983207', '125.114374', 'Comedy', '93.0', 'Brave', '35')"
"('62177', 'Brave', '185000000', '538983207', '125.114374', 'Family', '93.0', 'Brave', '10751')"
"('62177', 'Brave', '185000000', '538983207', '125.114374', 'Action', '93.0', 'Brave', '28')"
"('62177', 'Brave', '185000000', '538983207', '125.114374', 'Fantasy', '93.0', 'Brave', '14')"
"('188927', 'Star Trek Beyond', '185000000', '343471816', '65.352913', 'Action', '122.0', 'Star Trek Beyond', '28')"
"('188927', 'Star Trek Beyond', '185000000', '343471816', '65.352913', 'Adventure', '122.0', 'Star Trek Beyond', '12')"
"('188927', 'Star Trek Beyond', '185000000', '343471816', '65.352913', 'Science Fiction', '122.0', 'Star Trek Beyond', '878')"
"('10681', 'WALLÂ·E', '180000000', '521311860', '66.390712', 'Animation', '98.0', 'WALLÂ·E', '16')"
"('10681', 'WALLÂ·E', '180000000', '521311860', '66.390712', 'Family', '98.0', 'WALLÂ·E', '10751')"
"('5174', 'Rush Hour 3', '140000000', '258022233', '22.57178', 'Action', '91.0', 'Rush Hour 3', '28')"
"('5174', 'Rush Hour 3', '140000000', '258022233', '22.57178', 'Comedy', '91.0', 'Rush Hour 3', '35')"
"('5174', 'Rush Hour 3', '140000000', '258022233', '22.57178', 'Crime', '91.0', 'Rush Hour 3', '80')"
"('5174', 'Rush Hour 3', '140000000', '258022233', '22.57178', 'Thriller', '91.0', 'Rush Hour 3', '53')"
"('14161', '2012', '200000000', '769653595', '45.274225', 'Action', '158.0', '2012', '28')"
"('14161', '2012', '200000000', '769653595', '45.274225', 'Adventure', '158.0', '2012', '12')"
"('14161', '2012', '200000000', '769653595', '45.274225', 'Science Fiction', '158.0', '2012', '878')"
"('17979', 'A Christmas Carol', '200000000', '325233863', '39.744242', 'Animation', '96.0', 'A Christmas Carol', '16')"
"('17979', 'A Christmas Carol', '200000000', '325233863', '39.744242', 'Drama', '96.0', 'A Christmas Carol', '18')"
"('76757', 'Jupiter Ascending', '176000003', '183987723', '85.36908', 'Science Fiction', '124.0', 'Jupiter Ascending', '878')"
"('76757', 'Jupiter Ascending', '176000003', '183987723', '85.36908', 'Fantasy', '124.0', 'Jupiter Ascending', '14')"
"('76757', 'Jupiter Ascending', '176000003', '183987723', '85.36908', 'Action', '124.0', 'Jupiter Ascending', '28')"
"('76757', 'Jupiter Ascending', '176000003', '183987723', '85.36908', 'Adventure', '124.0', 'Jupiter Ascending', '12')"
"('258489', 'The Legend of Tarzan', '180000000', '356743061', '42.741719', 'Action', '109.0', 'The Legend of Tarzan', '28')"
"('258489', 'The Legend of Tarzan', '180000000', '356743061', '42.741719', 'Adventure', '109.0', 'The Legend of Tarzan', '12')"
"('411', 'The Chronicles of Narnia: The Lion, the Witch and the Wardrobe', '180000000', '748806957', '67.391328', 'Adventure', '143.0', 'The Chronicles of Narnia: The Lion, the Witch and the Wardrobe', '12')"
"('411', 'The Chronicles of Narnia: The Lion, the Witch and the Wardrobe', '180000000', '748806957', '67.391328', 'Family', '143.0', 'The Chronicles of Narnia: The Lion, the Witch and the Wardrobe', '10751')"
"('411', 'The Chronicles of Narnia: The Lion, the Witch and the Wardrobe', '180000000', '748806957', '67.391328', 'Fantasy', '143.0', 'The Chronicles of Narnia: The Lion, the Witch and the Wardrobe', '14')"
"('246655', 'X-Men: Apocalypse', '178000000', '543934787', '139.272042', 'Science Fiction', '144.0', 'X-Men: Apocalypse', '878')"
"('155', 'The Dark Knight', '185000000', '1004558444', '187.322927', 'Drama', '152.0', 'The Dark Knight', '18')"
"('155', 'The Dark Knight', '185000000', '1004558444', '187.322927', 'Action', '152.0', 'The Dark Knight', '28')"
"('155', 'The Dark Knight', '185000000', '1004558444', '187.322927', 'Crime', '152.0', 'The Dark Knight', '80')"
"('155', 'The Dark Knight', '185000000', '1004558444', '187.322927', 'Thriller', '152.0', 'The Dark Knight', '53')"
"('14160', 'Up', '175000000', '735099082', '92.201962', 'Animation', '96.0', 'Up', '16')"
"('14160', 'Up', '175000000', '735099082', '92.201962', 'Comedy', '96.0', 'Up', '35')"
"('14160', 'Up', '175000000', '735099082', '92.201962', 'Family', '96.0', 'Up', '10751')"
"('14160', 'Up', '175000000', '735099082', '92.201962', 'Adventure', '96.0', 'Up', '12')"
"('15512', 'Monsters vs Aliens', '175000000', '381509870', '36.167578', 'Animation', '94.0', 'Monsters vs Aliens', '16')"
"('15512', 'Monsters vs Aliens', '175000000', '381509870', '36.167578', 'Family', '94.0', 'Monsters vs Aliens', '10751')"
"('15512', 'Monsters vs Aliens', '175000000', '381509870', '36.167578', 'Adventure', '94.0', 'Monsters vs Aliens', '12')"
"('15512', 'Monsters vs Aliens', '175000000', '381509870', '36.167578', 'Science Fiction', '94.0', 'Monsters vs Aliens', '878')"
"('1726', 'Iron Man', '140000000', '585174222', '120.725053', 'Action', '126.0', 'Iron Man', '28')"
"('1726', 'Iron Man', '140000000', '585174222', '120.725053', 'Science Fiction', '126.0', 'Iron Man', '878')"
"('1726', 'Iron Man', '140000000', '585174222', '120.725053', 'Adventure', '126.0', 'Iron Man', '12')"
"('44826', 'Hugo', '170000000', '185770160', '32.319043', 'Adventure', '126.0', 'Hugo', '12')"
"('44826', 'Hugo', '170000000', '185770160', '32.319043', 'Drama', '126.0', 'Hugo', '18')"
"('44826', 'Hugo', '170000000', '185770160', '32.319043', 'Family', '126.0', 'Hugo', '10751')"
"('8487', 'Wild Wild West', '170000000', '222104681', '40.748915', 'Action', '106.0', 'Wild Wild West', '28')"
"('8487', 'Wild Wild West', '170000000', '222104681', '40.748915', 'Adventure', '106.0', 'Wild Wild West', '12')"
"('8487', 'Wild Wild West', '170000000', '222104681', '40.748915', 'Comedy', '106.0', 'Wild Wild West', '35')"
"('8487', 'Wild Wild West', '170000000', '222104681', '40.748915', 'Science Fiction', '106.0', 'Wild Wild West', '878')"
"('8487', 'Wild Wild West', '170000000', '222104681', '40.748915', 'Western', '106.0', 'Wild Wild West', '37')"
"('1735', 'The Mummy: Tomb of the Dragon Emperor', '145000000', '401128639', '60.034162', 'Adventure', '112.0', 'The Mummy: Tomb of the Dragon Emperor', '12')"
